seasonal_year,sellers_locality,n_fields
2012,Ikamiut,1
2012,"Ikerasaarsuk, Upernavik",2
2012,Ikerasak,12
2012,Ilimanaq,1
2012,Illorsuit,1
2012,Ilulissat,7
2012,Innaarsuit,15
2012,Kangersuatsiaq,6
2012,Kullorsuaq,15
2012,Naajaat,8
2012,Niaqornat,7
2012,Nutaarmiut,6
2012,Nuugaatsiaq,11
2012,Qaarsut,6
2012,Qasigiannguit,16
2012,Qeqertaq,4
2012,Qeqertarsuaq,2
2012,Saattut,15
2012,Saqqaq,7
2012,Sermiligaaq,1
2012,Ukkusissat,18
2012,Upernavik,36
2012,Upernavik Kujalleq,9
2012,Uummannaq,11
2013,Akunnaaq,3
2013,Ikamiut,1
2013,"Ikerasaarsuk, Upernavik",1
2013,Ikerasak,11
2013,Illorsuit,7
2013,Ilulissat,8
2013,Innaarsuit,11
2013,Itilleq,1
2013,Kangersuatsiaq,3
2013,Kullorsuaq,13
2013,Kulusuk,1
2013,Naajaat,5
2013,Niaqornat,8
2013,Nutaarmiut,4
2013,Nuugaatsiaq,12
2013,Nuuk,5
2013,Qaanaaq,12
2013,Qaarsut,9
2013,Qasigiannguit,3
2013,Qeqertaq,4
2013,Qeqertarsuaq,4
2013,Qeqertat,5
2013,Saattut,20
2013,Saqqaq,4
2013,Sermiligaaq,1
2013,Siorapaluk,7
2013,Ukkusissat,9
2013,Upernavik,25
2013,Upernavik Kujalleq,6
2013,Uummannaq,19
2014,Aasiaat,1
2014,Akunnaaq,5
2014,Attu,1
2014,Iginniarfik,2
2014,Ikamiut,1
2014,"Ikerasaarsuk, Kangaatsiaq",4
2014,"Ikerasaarsuk, Upernavik",1
2014,Ikerasak,19
2014,Ilimanaq,3
2014,Illorsuit,13
2014,Ilulissat,9
2014,Innaarsuit,12
2014,Itilleq,1
2014,Kangaatsiaq,4
2014,Kangersuatsiaq,10
2014,Kullorsuaq,15
2014,Naajaat,10
2014,Niaqornat,9
2014,Nutaarmiut,2
2014,Nuugaatsiaq,15
2014,Nuuk,1
2014,Qaanaaq,16
2014,Qaarsut,18
2014,Qasigiannguit,6
2014,Qeqertaq,10
2014,Qeqertarsuaq,3
2014,Qeqertat,4
2014,Saattut,27
2014,Saqqaq,8
2014,Sarfannguit,2
2014,Savissivik,1
2014,Siorapaluk,4
2014,Sisimiut,1
2014,Ukkusissat,20
2014,Upernavik,44
2014,Upernavik Kujalleq,22
2014,Uummannaq,22
2015,"Ikerasaarsuk, Upernavik",1
2015,Ikerasak,10
2015,Illorsuit,2
2015,Ilulissat,11
2015,Innaarsuit,20
2015,Kangersuatsiaq,7
2015,Kullorsuaq,19
2015,Naajaat,9
2015,Niaqornat,6
2015,Nutaarmiut,4
2015,Nuugaatsiaq,11
2015,Nuuk,3
2015,Oqaatsut,1
2015,Qaanaaq,16
2015,Qaarsut,15
2015,Qeqertaq,4
2015,Qeqertarsuaq,2
2015,Qeqertat,6
2015,Saattut,19
2015,Saqqaq,5
2015,Savissivik,1
2015,Siorapaluk,5
2015,Ukkusissat,18
2015,Upernavik,33
2015,Upernavik Kujalleq,7
2015,Uummannaq,21
2016,Aasiaat,1
2016,Akunnaaq,3
2016,Ikamiut,11
2016,"Ikerasaarsuk, Upernavik",1
2016,Ikerasak,17
2016,Ilimanaq,2
2016,Illorsuit,16
2016,Ilulissat,9
2016,Innaarsuit,21
2016,Kangerluk,2
2016,Kangersuatsiaq,8
2016,Kullorsuaq,17
2016,Naajaat,8
2016,Niaqornat,5
2016,Nutaarmiut,7
2016,Nuugaatsiaq,17
2016,Oqaatsut,1
2016,Qaanaaq,15
2016,Qaarsut,17
2016,Qasigiannguit,14
2016,Qeqertaq,11
2016,Qeqertarsuaq,5
2016,Qeqertat,8
2016,Saattut,23
2016,Saqqaq,12
2016,Sarfannguit,1
2016,Siorapaluk,3
2016,Ukkusissat,17
2016,Upernavik,42
2016,Upernavik Kujalleq,4
2016,Uummannaq,29
2017,Aasiaat,1
2017,Akunnaaq,3
2017,Attu,2
2017,Ikamiut,5
2017,Ikerasak,16
2017,Illorsuit,5
2017,Ilulissat,11
2017,Innaarsuit,16
2017,Itilleq,1
2017,Kangaamiut,1
2017,Kangersuatsiaq,14
2017,Kullorsuaq,13
2017,Naajaat,8
2017,Niaqornat,5
2017,Nutaarmiut,3
2017,Nuuk,3
2017,Qaanaaq,16
2017,Qaarsut,19
2017,Qasigiannguit,18
2017,Qeqertaq,22
2017,Qeqertarsuaq,4
2017,Qeqertat,7
2017,Saattut,25
2017,Saqqaq,15
2017,Sarfannguit,1
2017,Savissivik,1
2017,Siorapaluk,7
2017,Ukkusissat,16
2017,Upernavik,28
2017,Upernavik Kujalleq,3
2017,Uummannaq,34
2018,Attu,1
2018,Ikamiut,1
2018,Ikerasak,20
2018,Ilulissat,12
2018,Innaarsuit,15
2018,Kangersuatsiaq,16
2018,Kullorsuaq,23
2018,Naajaat,12
2018,Niaqornat,9
2018,Nutaarmiut,6
2018,Nuuk,12
2018,Qaanaaq,14
2018,Qaarsut,19
2018,Qasigiannguit,10
2018,Qeqertaq,18
2018,Qeqertarsuaq,4
2018,Qeqertat,6
2018,Saattut,29
2018,Saqqaq,17
2018,Sarfannguit,1
2018,Savissivik,4
2018,Siorapaluk,5
2018,Sisimiut,4
2018,Ukkusissat,22
2018,Upernavik,39
2018,Upernavik Kujalleq,3
2018,Uummannaq,39
2019,Aasiaat,2
2019,Ikerasak,14
2019,Ilimanaq,1
2019,Ilulissat,10
2019,Innaarsuit,12
2019,Kangaatsiaq,2
2019,Kangersuatsiaq,7
2019,Kullorsuaq,18
2019,Naajaat,10
2019,Niaqornat,8
2019,Nutaarmiut,2
2019,Nuuk,12
2019,Qaanaaq,14
2019,Qaarsut,25
2019,Qasigiannguit,7
2019,Qeqertaq,14
2019,Qeqertarsuaq,4
2019,Qeqertat,4
2019,Saattut,28
2019,Saqqaq,16
2019,Savissivik,3
2019,Siorapaluk,3
2019,Ukkusissat,19
2019,Upernavik,28
2019,Upernavik Kujalleq,4
2019,Uummannaq,35
2020,Ikamiut,1
2020,Ikerasak,20
2020,Ilulissat,4
2020,Innaarsuit,10
2020,Kangaatsiaq,1
2020,Kangersuatsiaq,11
2020,Kitsissuarsuit,1
2020,Kullorsuaq,25
2020,Naajaat,5
2020,Niaqornat,2
2020,Nutaarmiut,6
2020,Nuuk,3
2020,Oqaatsut,1
2020,Paamiut,1
2020,Qaanaaq,13
2020,Qaarsut,13
2020,Qeqertaq,10
2020,Qeqertarsuaq,4
2020,Qeqertat,4
2020,Saattut,15
2020,Saqqaq,7
2020,Siorapaluk,5
2020,Ukkusissat,13
2020,Upernavik,22
2020,Upernavik Kujalleq,11
2020,Uummannaq,23
2021,Aasiaat,1
2021,Akunnaaq,9
2021,Ikerasak,12
2021,Ilimanaq,1
2021,Ilulissat,10
2021,Innaarsuit,15
2021,Kangaatsiaq,1
2021,Kangersuatsiaq,4
2021,Kullorsuaq,27
2021,Naajaat,7
2021,Niaqornat,7
2021,Nutaarmiut,8
2021,Nuuk,15
2021,Qaanaaq,17
2021,Qaarsut,18
2021,Qeqertaq,11
2021,Qeqertarsuaq,2
2021,Qeqertat,5
2021,Saattut,17
2021,Saqqaq,12
2021,Sarfannguit,1
2021,Siorapaluk,3
2021,Ukkusissat,15
2021,Upernavik,26
2021,Upernavik Kujalleq,15
2021,Uummannaq,28
2022,Aasiaat,1
2022,Akunnaaq,2
2022,Iginniarfik,1
2022,Ikamiut,7
2022,Ikerasak,20
2022,Ilimanaq,1
2022,Ilulissat,5
2022,Innaarsuit,25
2022,Kangaatsiaq,1
2022,Kangerlussuaq,8
2022,Kangersuatsiaq,4
2022,Kullorsuaq,22
2022,Naajaat,5
2022,Niaqornat,2
2022,Nutaarmiut,3
2022,Nuuk,6
2022,Qaanaaq,12
2022,Qaarsut,22
2022,Qasigiannguit,1
2022,Qeqertaq,10
2022,Qeqertat,8
2022,Saattut,20
2022,Saqqaq,9
2022,Sarfannguit,1
2022,Savissivik,3
2022,Siorapaluk,2
2022,Ukkusissat,23
2022,Upernavik,26
2022,Upernavik Kujalleq,11
2022,Uummannaq,24
