season,sellers_locality,landing_date,first_or_last,catch_day,amount_in_kg,field_code,latitude,longitude
2012,Ikamiut,2013-03-11,first,222,153.0,LB025,68.6875,-51.875
2012,Ikamiut,2013-04-03,last,245,247.0,LB025,68.6875,-51.875
2012,"Ikerasaarsuk, Upernavik",2013-02-25,first,208,5.0,ND008,73.5625,-56.125
2012,"Ikerasaarsuk, Upernavik",2013-04-22,last,264,231.0,ND007,73.5625,-56.375
2012,Ikerasak,2013-01-07,first,159,7.5,LT027,70.4375,-51.375
2012,Ikerasak,2013-01-07,first,159,445.0,LV027,70.5625,-51.375
2012,Ikerasak,2013-05-30,last,302,144.5,LV027,70.5625,-51.375
2012,Ilimanaq,2013-02-28,first,211,215.0,LF028,69.0625,-51.125
2012,Ilimanaq,2013-03-06,last,217,445.0,LF028,69.0625,-51.125
2012,Illorsuit,2013-02-11,first,194,4.0,MD019,71.1875,-53.375
2012,Illorsuit,2013-05-25,last,297,339.0,MD019,71.1875,-53.375
2012,Ilulissat,2012-11-30,first,121,146.0,LG030,69.1875,-50.625
2012,Ilulissat,2013-05-14,last,286,17.0,LG028,69.1875,-51.125
2012,Ilulissat,2013-05-14,last,286,14.0,LG031,69.1875,-50.375
2012,Innaarsuit,2012-10-15,first,75,185.0,MZ008,73.1875,-56.125
2012,Innaarsuit,2013-07-02,last,335,723.0,MN013,72.3125,-54.875
2012,Kangersuatsiaq,2013-07-03,last,336,1854.0,MN013,72.3125,-54.875
2012,Kangersuatsiaq,2013-01-28,first,180,145.0,MX009,73.0625,-55.875
2012,Kullorsuaq,2013-01-22,first,174,60.0,NM004,74.5625,-57.125
2012,Kullorsuaq,2013-01-22,first,174,324.0,NN006,74.6875,-56.625
2012,Kullorsuaq,2013-06-11,last,314,595.0,NM003,74.5625,-57.375
2012,Naajaat,2013-01-21,first,173,138.0,MZ008,73.1875,-56.125
2012,Naajaat,2013-06-03,last,306,708.0,MX009,73.0625,-55.875
2012,Niaqornat,2013-01-17,first,169,215.5,MA027,70.9375,-51.375
2012,Niaqornat,2013-05-05,last,277,886.0,LV028,70.5625,-51.125
2012,Nutaarmiut,2013-01-28,first,180,2.0,ND007,73.5625,-56.375
2012,Nutaarmiut,2013-06-03,last,306,8.0,ND007,73.5625,-56.375
2012,Nuugaatsiaq,2013-01-11,first,163,345.0,LZ026,70.8125,-51.625
2012,Nuugaatsiaq,2013-06-10,last,313,123.5,MG021,71.5625,-52.875
2012,Qaarsut,2013-02-13,first,196,186.0,LZ026,70.8125,-51.625
2012,Qaarsut,2013-04-29,last,271,159.0,LX024,70.6875,-52.125
2012,Qasigiannguit,2013-01-21,first,173,37.7,LE026,68.9375,-51.625
2012,Qasigiannguit,2013-04-18,last,260,85.0,LD028,68.8125,-51.125
2012,Qeqertaq,2013-01-15,first,167,31.0,LP028,70.0625,-51.125
2012,Qeqertaq,2013-06-20,last,323,779.0,LH028,69.3125,-51.125
2012,Qeqertarsuaq,2013-02-26,first,209,132.0,LG019,69.1875,-53.375
2012,Qeqertarsuaq,2013-03-14,last,225,110.0,LG018,69.1875,-53.625
2012,Saattut,2013-01-04,first,156,457.5,LZ026,70.8125,-51.625
2012,Saattut,2013-05-28,last,300,174.0,LZ026,70.8125,-51.625
2012,Saqqaq,2013-03-21,last,232,54.0,LZ026,70.8125,-51.625
2012,Saqqaq,2013-02-14,first,197,104.0,LN028,69.9375,-51.125
2012,Sermiligaaq,2013-04-19,first,261,117.5,600B3,65.75,-36.5
2012,Sermiligaaq,2013-04-19,last,261,117.5,600B3,65.75,-36.5
2012,Ukkusissat,2012-10-15,first,75,211.5,MZ008,73.1875,-56.125
2012,Ukkusissat,2013-06-04,last,307,758.5,MB027,71.0625,-51.375
2012,Upernavik,2013-06-06,last,309,403.0,NN006,74.6875,-56.625
2012,Upernavik,2013-01-14,first,166,187.0,NA008,73.3125,-56.125
2012,Upernavik Kujalleq,2013-07-03,last,336,2096.0,MN013,72.3125,-54.875
2012,Upernavik Kujalleq,2013-01-14,first,166,180.0,MM011,72.1875,-55.375
2012,Uummannaq,2013-01-18,first,170,218.0,MA027,70.9375,-51.375
2012,Uummannaq,2013-05-01,last,273,334.5,LX024,70.6875,-52.125
2013,Akunnaaq,2014-03-11,first,222,385.5,LB023,68.6875,-52.375
2013,Akunnaaq,2014-04-11,last,253,188.0,LB023,68.6875,-52.375
2013,Akunnaaq,2014-03-11,first,222,164.0,LD023,68.8125,-52.375
2013,Ikamiut,2014-03-13,first,224,127.0,LB023,68.6875,-52.375
2013,Ikamiut,2014-04-09,last,251,262.0,LB023,68.6875,-52.375
2013,"Ikerasaarsuk, Upernavik",2014-03-18,first,229,262.0,ND007,73.5625,-56.375
2013,"Ikerasaarsuk, Upernavik",2014-05-12,last,284,8.0,ND007,73.5625,-56.375
2013,Ikerasak,2014-05-08,last,280,1144.0,LT027,70.4375,-51.375
2013,Ikerasak,2013-12-30,first,151,182.5,LV027,70.5625,-51.375
2013,Ikerasak,2014-05-08,last,280,727.0,LV027,70.5625,-51.375
2013,Ikerasak,2014-05-08,last,280,229.5,LT026,70.4375,-51.625
2013,Illorsuit,2014-02-17,first,200,150.5,LV027,70.5625,-51.375
2013,Illorsuit,2014-04-07,last,249,388.0,LZ027,70.8125,-51.375
2013,Ilulissat,2013-11-01,first,92,117.1,LG030,69.1875,-50.625
2013,Ilulissat,2014-05-15,last,287,220.0,LG030,69.1875,-50.625
2013,Innaarsuit,2013-12-16,first,137,2177.0,MZ008,73.1875,-56.125
2013,Innaarsuit,2014-05-13,last,285,12.0,MZ009,73.1875,-55.875
2013,Itilleq,2014-03-05,first,216,52.0,KE019,66.5625,-53.375
2013,Itilleq,2014-03-11,last,222,100.5,KE019,66.5625,-53.375
2013,Kangersuatsiaq,2014-03-10,first,221,131.0,MZ008,73.1875,-56.125
2013,Kangersuatsiaq,2014-05-08,last,280,425.0,MZ008,73.1875,-56.125
2013,Kullorsuaq,2014-05-19,last,291,321.0,ND007,73.5625,-56.375
2013,Kullorsuaq,2013-12-11,first,132,137.0,NN005,74.6875,-56.875
2013,Kulusuk,2013-12-23,first,144,232.0,NN006,74.6875,-56.625
2013,Kulusuk,2013-12-23,last,144,232.0,NN006,74.6875,-56.625
2013,Naajaat,2013-12-17,first,138,479.0,MX009,73.0625,-55.875
2013,Naajaat,2014-05-19,last,291,381.0,MZ009,73.1875,-55.875
2013,Niaqornat,2014-04-24,last,266,65.0,LZ026,70.8125,-51.625
2013,Niaqornat,2014-02-06,first,189,115.0,MA026,70.9375,-51.625
2013,Nutaarmiut,2014-01-03,first,155,142.0,ND007,73.5625,-56.375
2013,Nutaarmiut,2014-05-19,last,291,1266.0,ND007,73.5625,-56.375
2013,Nuugaatsiaq,2014-01-27,first,179,225.0,MB026,71.0625,-51.625
2013,Nuugaatsiaq,2014-06-12,last,315,370.0,MF019,71.4375,-53.375
2013,Nuuk,2014-05-08,last,280,166.0,MZ008,73.1875,-56.125
2013,Nuuk,2014-03-13,first,224,358.0,MZ010,73.1875,-55.625
2013,Qaanaaq,2013-12-20,first,141,114.4,PS396,77.4375,-69.125
2013,Qaanaaq,2014-06-20,last,323,345.0,PS396,77.4375,-69.125
2013,Qaarsut,2014-02-26,first,209,99.0,LX024,70.6875,-52.125
2013,Qaarsut,2014-05-08,last,280,484.5,LX024,70.6875,-52.125
2013,Qaarsut,2014-05-08,last,280,154.0,LZ022,70.8125,-52.625
2013,Qasigiannguit,2014-04-16,last,258,102.0,LD028,68.8125,-51.125
2013,Qasigiannguit,2014-02-27,first,210,42.0,LP028,70.0625,-51.125
2013,Qeqertaq,2014-02-14,first,197,257.0,LP028,70.0625,-51.125
2013,Qeqertaq,2014-04-27,last,269,89.0,LP028,70.0625,-51.125
2013,Qeqertarsuaq,2014-03-12,first,223,160.0,LG018,69.1875,-53.625
2013,Qeqertarsuaq,2014-05-05,last,277,43.0,LF019,69.0625,-53.375
2013,Qeqertat,2014-02-17,first,200,279.0,PT404,77.5625,-67.125
2013,Qeqertat,2014-06-26,last,329,58.0,PT406,77.5625,-66.625
2013,Saattut,2014-01-06,first,158,370.0,LZ026,70.8125,-51.625
2013,Saattut,2014-05-08,last,280,446.0,LZ026,70.8125,-51.625
2013,Saattut,2014-05-08,last,280,55.5,MA026,70.9375,-51.625
2013,Saattut,2014-05-08,last,280,122.5,LZ025,70.8125,-51.875
2013,Saqqaq,2014-02-25,first,208,62.0,LN026,69.9375,-51.625
2013,Saqqaq,2014-03-31,last,242,55.0,LP025,70.0625,-51.875
2013,Saqqaq,2014-03-31,last,242,259.0,LP026,70.0625,-51.625
2013,Sermiligaaq,2014-04-15,first,257,73.0,600B3,65.75,-36.5
2013,Sermiligaaq,2014-04-15,last,257,73.0,600B3,65.75,-36.5
2013,Siorapaluk,2014-01-23,first,175,91.0,PS396,77.4375,-69.125
2013,Siorapaluk,2014-06-30,last,333,71.0,PS395,77.4375,-69.375
2013,Ukkusissat,2014-01-06,first,158,599.0,MB025,71.0625,-51.875
2013,Ukkusissat,2014-05-07,last,279,240.5,MA024,70.9375,-52.125
2013,Upernavik,2014-05-19,last,291,11.0,ND008,73.5625,-56.125
2013,Upernavik,2013-12-18,first,139,162.0,NA008,73.3125,-56.125
2013,Upernavik Kujalleq,2014-05-22,last,294,279.0,MN013,72.3125,-54.875
2013,Upernavik Kujalleq,2014-02-10,first,193,90.0,MM011,72.1875,-55.375
2013,Uummannaq,2014-01-07,first,159,123.5,LZ026,70.8125,-51.625
2013,Uummannaq,2014-05-14,last,286,164.0,MF020,71.4375,-53.125
2014,Aasiaat,2015-03-09,first,220,171.0,LD022,68.8125,-52.625
2014,Aasiaat,2015-03-15,last,226,240.0,LD022,68.8125,-52.625
2014,Akunnaaq,2015-02-17,first,200,180.0,LD023,68.8125,-52.375
2014,Akunnaaq,2015-04-19,last,261,140.0,LD023,68.8125,-52.375
2014,Attu,2015-02-27,first,210,124.5,KS018,67.9375,-53.625
2014,Attu,2015-03-03,last,214,285.0,KS018,67.9375,-53.625
2014,Iginniarfik,2015-02-09,first,192,384.0,KT020,68.0625,-53.125
2014,Iginniarfik,2015-02-28,last,211,151.0,KT020,68.0625,-53.125
2014,Ikamiut,2015-03-02,first,213,1850.0,LB025,68.6875,-51.875
2014,Ikamiut,2015-05-13,last,285,70.5,LB025,68.6875,-51.875
2014,"Ikerasaarsuk, Kangaatsiaq",2015-01-30,first,182,180.0,KT020,68.0625,-53.125
2014,"Ikerasaarsuk, Kangaatsiaq",2015-03-01,last,212,81.0,KV019,68.1875,-53.375
2014,"Ikerasaarsuk, Upernavik",2015-01-28,first,180,196.0,ND007,73.5625,-56.375
2014,"Ikerasaarsuk, Upernavik",2015-05-29,last,301,284.5,ND007,73.5625,-56.375
2014,Ikerasak,2015-01-28,first,180,93.0,LV027,70.5625,-51.375
2014,Ikerasak,2015-05-09,last,281,387.0,LX024,70.6875,-52.125
2014,Ilimanaq,2015-02-18,first,201,205.0,LF028,69.0625,-51.125
2014,Ilimanaq,2015-04-20,last,262,265.0,LF028,69.0625,-51.125
2014,Illorsuit,2015-06-05,last,308,1699.0,MD019,71.1875,-53.375
2014,Illorsuit,2015-01-16,first,168,459.0,MG021,71.5625,-52.875
2014,Illorsuit,2015-06-05,last,308,1056.0,MG022,71.5625,-52.625
2014,Ilulissat,2014-11-02,first,93,69.0,LG030,69.1875,-50.625
2014,Ilulissat,2015-05-31,last,303,59.0,LG030,69.1875,-50.625
2014,Innaarsuit,2015-05-22,last,294,67.0,MZ008,73.1875,-56.125
2014,Innaarsuit,2014-09-25,first,55,505.0,MZ010,73.1875,-55.625
2014,Itilleq,2015-03-04,first,215,278.0,KE019,66.5625,-53.375
2014,Itilleq,2015-03-05,last,216,239.0,KE019,66.5625,-53.375
2014,Kangaatsiaq,2015-01-29,first,181,73.0,KV019,68.1875,-53.375
2014,Kangaatsiaq,2015-03-26,last,237,96.0,KX020,68.3125,-53.125
2014,Kangersuatsiaq,2015-05-28,last,300,245.5,ND007,73.5625,-56.375
2014,Kangersuatsiaq,2014-09-07,first,37,265.0,MT015,72.8125,-54.375
2014,Kullorsuaq,2015-06-08,last,311,1371.0,NN006,74.6875,-56.625
2014,Kullorsuaq,2014-12-22,first,143,219.0,NM003,74.5625,-57.375
2014,Kullorsuaq,2015-06-08,last,311,731.5,NM003,74.5625,-57.375
2014,Kullorsuaq,2015-06-08,last,311,445.0,NN005,74.6875,-56.875
2014,Kullorsuaq,2015-06-08,last,311,825.0,NN004,74.6875,-57.125
2014,Naajaat,2015-01-07,first,159,104.0,MZ009,73.1875,-55.875
2014,Naajaat,2015-05-22,last,294,312.0,MZ009,73.1875,-55.875
2014,Niaqornat,2015-03-02,first,213,96.5,LV026,70.5625,-51.625
2014,Niaqornat,2015-05-04,last,276,458.5,LZ023,70.8125,-52.375
2014,Nutaarmiut,2015-01-12,first,164,262.0,ND007,73.5625,-56.375
2014,Nutaarmiut,2015-05-29,last,301,466.5,ND007,73.5625,-56.375
2014,Nuugaatsiaq,2015-01-15,first,167,358.0,MG021,71.5625,-52.875
2014,Nuugaatsiaq,2015-06-05,last,308,356.5,MG021,71.5625,-52.875
2014,Nuugaatsiaq,2015-06-05,last,308,133.5,MF019,71.4375,-53.375
2014,Nuugaatsiaq,2015-01-15,first,167,88.0,MF020,71.4375,-53.125
2014,Nuugaatsiaq,2015-06-05,last,308,961.5,MG020,71.5625,-53.125
2014,Nuuk,2015-03-27,first,238,260.0,LG030,69.1875,-50.625
2014,Nuuk,2015-03-31,last,242,258.0,LG030,69.1875,-50.625
2014,Qaanaaq,2015-05-21,last,293,190.0,PS396,77.4375,-69.125
2014,Qaanaaq,2014-12-08,first,129,207.0,PS395,77.4375,-69.375
2014,Qaanaaq,2015-05-21,last,293,1252.0,PS395,77.4375,-69.375
2014,Qaanaaq,2015-05-21,last,293,951.0,PR396,77.3125,-69.125
2014,Qaanaaq,2015-05-21,last,293,141.0,PR397,77.3125,-68.875
2014,Qaanaaq,2015-05-21,last,293,381.0,PT405,77.5625,-66.875
2014,Qaarsut,2015-02-15,first,198,227.5,LT026,70.4375,-51.625
2014,Qaarsut,2015-02-15,first,198,152.5,LV025,70.5625,-51.875
2014,Qaarsut,2015-05-12,last,284,409.0,LX021,70.6875,-52.875
2014,Qaarsut,2015-05-12,last,284,491.0,LX023,70.6875,-52.375
2014,Qaarsut,2015-05-12,last,284,559.0,LZ021,70.8125,-52.875
2014,Qasigiannguit,2015-04-23,last,265,76.0,LD028,68.8125,-51.125
2014,Qasigiannguit,2015-02-12,first,195,37.0,LB028,68.6875,-51.125
2014,Qeqertaq,2015-01-14,first,166,78.0,LP028,70.0625,-51.125
2014,Qeqertaq,2015-05-10,last,282,410.0,LX023,70.6875,-52.375
2014,Qeqertarsuaq,2015-02-09,first,192,41.0,LG018,69.1875,-53.625
2014,Qeqertarsuaq,2015-04-29,last,271,36.0,LH019,69.3125,-53.375
2014,Qeqertat,2015-01-12,first,164,31.0,PS395,77.4375,-69.375
2014,Qeqertat,2015-05-21,last,293,440.0,PT405,77.5625,-66.875
2014,Saattut,2015-01-19,first,171,350.5,LZ026,70.8125,-51.625
2014,Saattut,2015-05-26,last,298,479.0,MG021,71.5625,-52.875
2014,Saqqaq,2015-02-02,first,185,78.0,LN026,69.9375,-51.625
2014,Saqqaq,2015-02-02,first,185,19.0,LP025,70.0625,-51.875
2014,Saqqaq,2015-02-02,first,185,127.0,LN027,69.9375,-51.375
2014,Saqqaq,2015-04-01,last,243,43.519999999999996,LN025,69.9375,-51.875
2014,Sarfannguit,2015-01-21,first,173,157.0,KH021,66.9375,-52.875
2014,Sarfannguit,2015-03-31,last,242,44.0,KH021,66.9375,-52.875
2014,Savissivik,2015-05-06,first,278,204.0,PT405,77.5625,-66.875
2014,Savissivik,2015-05-06,last,278,204.0,PT405,77.5625,-66.875
2014,Siorapaluk,2015-02-05,first,188,382.0,PS396,77.4375,-69.125
2014,Siorapaluk,2015-05-21,last,293,176.0,PS395,77.4375,-69.375
2014,Sisimiut,2015-03-03,first,214,137.0,KH021,66.9375,-52.875
2014,Sisimiut,2015-03-16,last,227,51.0,KH021,66.9375,-52.875
2014,Ukkusissat,2015-01-11,first,163,869.5,MB027,71.0625,-51.375
2014,Ukkusissat,2015-01-11,first,163,926.5,MB026,71.0625,-51.625
2014,Ukkusissat,2015-07-15,last,348,300.0,MB026,71.0625,-51.625
2014,Upernavik,2015-05-29,last,301,54.5,ND007,73.5625,-56.375
2014,Upernavik,2015-01-05,first,157,274.0,NA008,73.3125,-56.125
2014,Upernavik Kujalleq,2015-05-26,last,298,149.5,ND007,73.5625,-56.375
2014,Upernavik Kujalleq,2015-01-22,first,174,67.5,MM010,72.1875,-55.625
2014,Uummannaq,2015-01-30,first,182,292.0,LZ026,70.8125,-51.625
2014,Uummannaq,2015-01-30,first,182,566.0,LX024,70.6875,-52.125
2014,Uummannaq,2015-06-05,last,308,706.0,MG022,71.5625,-52.625
2015,"Ikerasaarsuk, Upernavik",2016-01-18,first,170,198.0,ND007,73.5625,-56.375
2015,"Ikerasaarsuk, Upernavik",2016-05-06,last,279,147.0,ND007,73.5625,-56.375
2015,Ikerasak,2015-12-21,first,142,175.0,LV027,70.5625,-51.375
2015,Ikerasak,2016-07-16,last,350,600.0,LT029,70.4375,-50.875
2015,Illorsuit,2016-03-08,last,220,149.5,LX024,70.6875,-52.125
2015,Illorsuit,2015-12-30,first,151,168.0,MD024,71.1875,-52.125
2015,Ilulissat,2015-11-13,first,104,212.0,LG030,69.1875,-50.625
2015,Ilulissat,2016-04-22,last,265,38.0,LG030,69.1875,-50.625
2015,Innaarsuit,2015-12-14,first,135,109.5,MZ008,73.1875,-56.125
2015,Innaarsuit,2016-05-05,last,278,208.0,MZ009,73.1875,-55.875
2015,Kangersuatsiaq,2016-05-02,last,275,369.5,NN006,74.6875,-56.625
2015,Kangersuatsiaq,2016-02-22,first,205,87.0,MM012,72.1875,-55.125
2015,Kullorsuaq,2015-12-14,first,135,288.0,NN005,74.6875,-56.875
2015,Kullorsuaq,2016-05-23,last,296,244.5,NN004,74.6875,-57.125
2015,Naajaat,2016-05-15,last,288,130.0,MZ009,73.1875,-55.875
2015,Naajaat,2015-12-21,first,142,404.0,NN007,74.6875,-56.375
2015,Niaqornat,2016-01-12,first,164,307.5,LV025,70.5625,-51.875
2015,Niaqornat,2016-04-14,last,257,35.5,LV029,70.5625,-50.875
2015,Nutaarmiut,2015-12-21,first,142,283.0,ND008,73.5625,-56.125
2015,Nutaarmiut,2015-12-21,first,142,587.0,ND007,73.5625,-56.375
2015,Nutaarmiut,2016-05-24,last,297,110.0,ND006,73.5625,-56.625
2015,Nuugaatsiaq,2015-12-14,first,135,327.0,LZ026,70.8125,-51.625
2015,Nuugaatsiaq,2016-04-29,last,272,77.0,MG020,71.5625,-53.125
2015,Nuuk,2016-03-01,first,213,287.5,MZ008,73.1875,-56.125
2015,Nuuk,2016-03-25,last,237,92.0,MZ009,73.1875,-55.875
2015,Oqaatsut,2015-12-13,first,134,105.0,LG030,69.1875,-50.625
2015,Oqaatsut,2016-02-18,last,201,156.0,LG030,69.1875,-50.625
2015,Qaanaaq,2015-12-14,first,135,1105.5,PS395,77.4375,-69.375
2015,Qaanaaq,2016-06-23,last,327,86.0,PS398,77.4375,-68.625
2015,Qaarsut,2016-01-04,first,156,118.0,LX024,70.6875,-52.125
2015,Qaarsut,2016-04-12,last,255,174.5,LV025,70.5625,-51.875
2015,Qeqertaq,2016-02-05,first,188,120.0,LP028,70.0625,-51.125
2015,Qeqertaq,2016-06-19,last,323,391.0,LN027,69.9375,-51.375
2015,Qeqertarsuaq,2016-02-15,first,198,88.0,LH019,69.3125,-53.375
2015,Qeqertarsuaq,2016-02-23,last,206,394.0,LH019,69.3125,-53.375
2015,Qeqertarsuaq,2016-02-15,first,198,87.0,LJ019,69.4375,-53.375
2015,Qeqertat,2015-12-14,first,135,125.0,PS395,77.4375,-69.375
2015,Qeqertat,2016-05-24,last,297,388.0,PS405,77.4375,-66.875
